word,jyutping
賠了夫人又折兵,pui4 liu5 fu1 jan4 jau6 zit3 bing1
雷聲大，雨點小,leoi4 sing1 daai6 jyu5 dim2 siu2
飛上枝頭作鳳凰,fei1 soeng5 zi1 tau4 zok3 fung6 wong4
多一事不如少一事,do1 jat1 si6 bat1 jyu4 siu2 jat1 si6
家家有本難念的經,gaa1 gaa1 jau5 bun2 naan4 nim6 dik1 ging1
巧婦難為無米之炊,haau2 fu5 naan4 wai4 mou4 mai5 zi1 ceoi1
一波未平，一波又起,jat1 bo1 mei6 ping4 jat1 bo1 jau6 hei2
三人行，必有我師焉,saam1 jan4 hang4 bit1 jau5 ngo5 si1 jin4
人無遠慮，必有近憂,jan4 mou4 jyun5 leoi6 bit1 jau5 gan6 jau1
人而無信，不知其可,jan4 ji4 mou4 seon3 bat1 zi1 kei4 ho2
他山之石，可以攻玉,taa1 saan1 zi1 sek6 ho2 ji5 gung1 juk6
前無古人，後無來者,cin4 mou4 gu2 jan4 hau6 mou4 loi4 ze2
勝者為王，敗者為寇,sing3 ze2 wai4 wong4 baai6 ze2 wai4 kau3
十年樹木，百年樹人,sap6 nin4 syu6 muk6 baak3 nin4 syu6 jan4
千里之行，始於足下,cin1 lei5 zi1 hang4 ci2 jyu1 zuk1 haa6
塞翁失馬，焉知非福,coi3 jung1 sat1 maa5 jin1 zi1 fei1 fuk1
大事化小，小事化無,daai6 si6 faa3 siu2 siu2 si6 faa3 mou4
天下興亡，匹夫有責,tin1 haa6 hing1 mong4 pat1 fu1 jau5 zaak3
學海無涯，唯勤是岸,hok6 hoi2 mou4 ngaai4 wai4 kan4 si6 ngon6
己所不欲，勿施於人,gei2 so2 bat1 juk6 mat6 si1 jyu1 jan4
放下屠刀，立地成佛,fong3 haa6 tou4 dou1 laap6 dei6 sing4 fat6
明槍易擋，暗箭難防,ming4 coeng1 ji6 dong2 am3 zin3 naan4 fong4
智者千慮，必有一失,zi3 ze2 cin1 leoi6 bit1 jau5 jat1 sat1
犧牲小我，完成大我,hei1 sang1 siu2 ngo5 jyun4 sing4 daai6 ngo5
百尺竿頭，更進一步,baak3 cek3 gon1 tau4 gang3 zeon3 jat1 bou6
種瓜得瓜，種豆得豆,zung3 gwaa1 dak1 gwaa1 zung3 dau2 dak1 dau2
精誠所至，金石為開,zing1 sing4 so2 zi3 gam1 sek6 wai4 hoi1
老吾老，以及人之老,lou5 ng4 lou5 ji5 kap6 jan4 zi1 lou5
衣食足，然後知榮辱,ji1 ji6 zeoi3 jin4 hau6 zi1 wing4 juk6
近朱者赤，近墨者黑,gan6 zyu1 ze2 cek3 gan6 mak6 ze2 haak1
過而能改，善莫大焉,gwo3 ji4 nang4 goi2 sin6 mok6 daai6 jin1
道高一尺，魔高一丈,dou6 gou1 jat1 cek3 mo1 gou1 jat1 zoeng6
金玉其外，敗絮其中,gam1 juk6 kei4 ngoi6 baai6 seoi5 kei4 zung1
鷸蚌相爭，漁人得利,neot6 pong5 soeng1 zang1 jyu4 jan4 dak1 lei6
冰凍三尺，非一日之寒,bing1 dung3 saam1 cek3 fei1 jat1 jat6 zi1 hon4
知其然，不知其所以然,zi1 kei4 jin4 bat1 zi1 kei4 so2 ji5 jin4
世上無難事，只怕有心人,sai3 soeng5 mou4 naan4 si6 zi2 paa3 jau5 sam1 jan4
只要功夫深，鐵杵磨成針,zi2 jiu3 gung1 fu1 sam1 tit3 cyu5 mo4 sing4 zam1
吃得苦中苦，方為人上人,hek3 dak1 fu2 zung1 fu2 fong1 wai4 jan4 soeng6 jan4
少壯不努力，老大徒傷悲,siu3 zong3 bat1 nou5 lik6 lou5 daai6 tou4 soeng1 bei1
工欲善其事，必先利其器,gung1 juk6 sin6 kei4 si6 bit1 sin1 lei6 kei4 hei3
秀才不出門，能知天下事,sau3 coi4 bat1 ceot1 mun4 nang4 zi1 tin1 haa6 si6
誰言寸草心，報得三春暉,seoi4 jin4 cyun3 cou2 sam1 bou3 dak1 saam1 ceon1 fai1
路遙知馬力，日久見人心,lou6 jiu4 zi1 maa5 lik6 jat6 gau2 gin3 jan4 sam1
一年之計在於春，一日之計在於晨,jat1 nin4 zi1 gai3 zoi6 jyu1 ceon1 jat1 jat6 zi1 gai3 zoi6 jyu1 san4
踏破鐵鞋無覓處，得來全不費工夫,daap6 po3 tit3 haai4 mou4 mik6 cyu5 dak1 loi4 cyun4 bat1 fai3 gung1 fu1
