word,jyutping
蝗蟲,wong4 cung4
行書,hang4 syu1
衡山,hang4 saan1
西夏,sai1 haa6
西安,sai1 on1
西寧,sai1 ning4
西德,sai1 dak1
西施,sai1 si1
西湖,sai1 wu4
西藏,sai1 zong6
西貢,sai1 gung3
議員,ji5 jyun4
貝爾,bui3 ji5
貴州,gwai3 zau1
貴陽,gwai3 joeng4
赤柱,cek3 cyu5
赤道,cek3 dou6
越南,jyut6 naam4
轉注,zyun2 zyu3
遼代,liu4 doi6
遼寧,liu4 ning4
鄭和,zeng6 wo4
鄭州,zeng6 zau1
重慶,cung4 hing3
重陽,cung4 joeng4
金代,gam1 doi6
金邊,gam1 bin1
金陵,gam1 ling4
銀川,ngan4 cyun1
錢穆,cin4 muk6
鍾山,zung1 saan1
鍾馗,zung1 kwai4
長安,coeng4 on1
長春,coeng4 ceon1
長江,coeng4 gong1
長沙,coeng4 saa1
長洲,coeng4 zau1
開封,hoi1 fung1
開羅,hoi1 lo4
關公,gwaan1 gung1
關西,gwaan1 sai1
陝西,sim2 sai1
陰山,jam1 saan1
隋代,ceoi4 doi6
隸書,dai6 syu1
雅典,ngaa5 din2
雨季,jyu5 gwai3
雲南,wan4 naam4
電能,din6 nang4
青島,cing1 dou2
青海,cing1 hoi2
非洲,fei1 zau1
項羽,hong6 jyu5
顏回,ngaan4 wui4
首爾,sau2 ji5
首相,sau2 soeng3
高雄,gou1 hung4
魯班,lou5 baan1
魯迅,lou5 seon3
鵪鶉,am1 ceon1
麻鷹,maa4 jing1
黃山,wong4 saan1
黃帝,wong4 dai3
黃河,wong4 ho4
黃海,wong4 hoi2
黏土,nim1 tou2
黑海,hak1 hoi2
中南海,zung1 naam4 hoi2
以色列,ji5 sik1 lit6
任劍輝,jam4 gim3 fai1
伊拉克,ji1 laai1 hak1
俄羅斯,ngo4 lo4 si1
內蒙古,noi6 mung4 gu2
公益金,gung1 jik1 gam1
共產黨,gung6 caan2 dong2
利比亞,lei6 bei2 aa3
劉少奇,lau4 siu3 kei4
加拿大,gaa1 naa4 daai6
匈牙利,hung1 ngaa4 lei6
化合物,faa3 hap6 mat6
北冰洋,bak1 bing1 joeng4
北朝鮮,bak1 ciu4 sin1
北美洲,bak1 mei5 zau1
南丫島,naam4 aa1 dou2
南朝鮮,naam4 ciu4 sin1
南極洲,naam4 gik6 zau1
南美洲,naam4 mei5 zau1
卡塔爾,kaa1 taap3 ji5
印度洋,jan3 dou6 joeng4
反氣旋,faan2 hei3 syun4
司馬光,si1 maa5 gwong1
吉隆坡,gat1 lung4 bo1
周口店,zau1 hau2 dim3
周恩來,zau1 jan1 loi4
咸陽橋,haam4 joeng4 kiu4
哈爾濱,haa1 ji5 ban1
唐太宗,tong4 taai3 zung1
喀布爾,haak3 bou3 ji5
喀麥隆,haak3 mak6 lung4
國務院,gwok3 mou6 jyun2
國民黨,gwok3 man4 dong2
土耳其,tou2 ji5 kei4
地中海,dei6 zung1 hoi2
墨西哥,mak6 sai1 go1
多瑙河,do1 nou5 ho4
大前提,daai6 cin4 tai4
大嶼山,daai6 jyu4 saan1
大帽山,daai6 mou6 saan1
大洋洲,daai6 joeng4 zau1
大西洋,daai6 sai1 joeng4
太平山,taai3 ping4 saan1
太平洋,taai3 ping4 joeng4
奧地利,ou3 dei6 lei6
威爾斯,wai1 ji5 si1
孟加拉,maang6 gaa1 laai1
孫中山,syun1 zung1 saan1
孫叔敖,syun1 suk1 ngou4
孫悟空,syun1 ng6 hung1
宋王台,sung3 wong4 toi4
富士山,fu3 si6 saan1
寒山寺,hon4 saan1 zi6
尼泊爾,nei4 bok6 ji5
尼羅河,nei4 lo4 ho4
巴拉圭,baa1 laai1 gwai1
巴拿馬,baa1 naa4 maa5
巴格達,baa1 gaak3 daat6
布拉格,bou3 laai1 gaak3
意大利,ji3 daai6 lei6
愛爾蘭,oi3 ji5 laan4
愛迪生,oi3 dik6 sang1
摩洛哥,mo1 lok3 go1
文天祥,man4 tin1 coeng4
斑馬線,baan1 maa5 sin3
新加坡,san1 gaa1 bo1
新西蘭,san1 sai1 laan4
星加坡,sing1 gaa3 bo1
景德鎮,ging2 dak1 zan3
曹雪芹,cou4 syut3 kan4
望夫石,mong6 fu1 sek6
朱雀橋,zyu1 zoek3 kiu4
李四光,lei5 sei3 gwong1
李小龍,lei5 siu2 lung4
李時珍,lei5 si4 zan1
東南亞,dung1 naam4 aa3
林黛玉,lam4 doi6 juk6
柬埔寨,gaan2 bou3 zaai6
梁山伯,loeng4 saan1 baak3
梅蘭芳,mui4 laan4 fong1
楊貴妃,joeng4 gwai3 fei1
比利時,bei2 lei6 si4
毛澤東,mou4 zaak6 dung1
水滸傳,seoi2 wu2 zyun6
波斯灣,bo1 si1 waan1
洞庭湖,dung6 ting4 wu4
混合物,wan6 hap6 mat6
淺水灣,cin2 seoi2 waan1
渾天儀,wan4 tin1 ji4
漢武帝,hon3 mou5 dai3
烏克蘭,wu1 hak1 laan4
烏拉圭,wu1 laai1 gwai1
獅子山,si1 zi2 saan1
玉門關,juk6 mun4 gwaan1
王羲之,wong4 hei1 zi1
白居易,baak6 geoi1 jik6
石家莊,sek6 gaa1 zong1
祖沖之,zou2 cung1 zi1
祝英台,zuk1 jing1 toi4
科威特,fo1 wai1 dak6
秦始皇,ceon4 ci2 wong4
立陶宛,laap6 tou4 jyun2
端午節,dyun1 ng5 zit3
