word,jyutping
負,fu6
貳,ji6
費,fai3
賜,ci3
賞,soeng2
賠,pui4
賤,zin6
賦,fu3
賴,laai6
賺,zaan6
贈,zang6
贏,jing4 / jeng4
赴,fu6
趁,can3
越,jyut6
趟,tong3
足,①zuk1 ②zuk1
趴,paa1
跛,bo2 [bai1]
距,keoi5
跨,kwaa1
跪,gwai6
蹄,tai4
蹦,bang1
蹲,①deon1 ②cyun4
躍,joek3 / joek6
軸,zuk6
較,gaau3
輩,bui3
辣,laat6
辭,①ci4 ②ci4
迎,jing4
迫,bik1 / baak1
述,seot6
透,tau3
速,cuk1
逼,bik1
遂,seoi6
遞,dai6
遷,cin1
邁,maai6
郡,gwan6
鄉,hoeng1
醉,zeoi3
醋,cou3
釀,joeng6
量,①loeng6 ②loeng4
鈣,koi3
鋁,leoi5
鋪,①pou1 ②pou1 ③pou3
錄,luk6
錐,zeoi1
鎖,so2
鏟,caan2
鏽,sau3
鑄,zyu3
鑲,soeng1
鑼,lo4
鑿,zok6
閉,bai3
闖,cong2
附,fu6
陷,haam6
隔,gaak3
集,zaap6
雕,diu1
離,lei4
霸,baa3
靠,kaau3
須,seoi1
頗,po2
頸,geng2
願,jyun6
馱,to4
駕,gaa3
驗,jim6
鬧,naau6
魂,wan4
鳴,ming4
鶯,ang1
鶴,hok6
麻,maa4
黏,nim1 / nim4
黨,dong2
齊,cai4
一一,jat1 jat1
一代,jat1 doi6
一來,jat1 loi4
一再,jat1 zoi3
一味,jat1 mei6
一如,jat1 jyu4
一帶,jat1 daai3
一度,jat1 dou6
一律,jat1 leot6
一旦,jat1 daan3
一流,jat1 lau4
一生,jat1 sang1
一番,jat1 faan1
一致,jat1 zi3
一行,jat1 hang4
一貫,jat1 gun3
一體,jat1 tai2
三甲,saam1 gaap3
三軍,saam1 gwan1
上古,soeng6 gu2
上台,soeng5 toi4
上司,soeng6 si1
上址,soeng6 zi2
上層,soeng6 cang4
上市,soeng5 si5
上帝,soeng6 dai3
上旬,soeng6 ceon4
上演,soeng5 jin2
上漲,soeng6 zoeng3
上當,soeng5 dong3
上等,soeng6 dang2
上級,soeng6 kap1
上網,soeng5 mong5
上繳,soeng6 giu2
上色,soeng5 sik1
上訴,soeng6 sou3
上述,soeng6 seot6
上進,soeng6 zeon3
下令,haa6 ling6
下層,haa6 cang4
下崗,haa6 gong1
下手,haa6 sau2
下旬,haa6 ceon4
下水,haa6 seoi2
下海,haa6 hoi2
下游,haa6 jau4
下落,haa6 lok6
下跌,haa6 dit3
不乏,bat1 fat6
不便,bat1 bin6
不僅,bat1 gan2
不免,bat1 min5
不利,bat1 lei6
不及,bat1 kap6
不只,bat1 zi2
不單,bat1 daan1
不堪,bat1 ham1
不外,bat1 ngoi6
不如,bat1 jyu4
不妨,bat1 fong4
不宜,bat1 ji4
不容,bat1 jung4
不已,bat1 ji5
不忍,bat1 jan2
不惜,bat1 sik1
不懈,bat1 haai6
不時,bat1 si4
不景,bat1 ging2
不然,bat1 jin4
不當,bat1 dong3
不管,bat1 gun2
不良,bat1 loeng4
不行,bat1 hang4
不覺,bat1 gok3
不足,bat1 zuk1
世代,sai3 doi6
世紀,sai3 gei2
世間,sai3 gaan1
丘陵,jau1 ling4
丟失,diu1 sat1
丟掉,diu1 diu6
並非,bing6 fei1
丫頭,aa1 tau4
中和,zung1 wo4
中斷,zung1 dyun6 [zung1 tyun5]
中旬,zung1 ceon4
中樞,zung1 syu1
中游,zung1 jau4
中等,zung1 dang2
中華,zung1 waa4
中葉,zung1 jip6
中途,zung1 tou4
主力,zyu2 lik6
主導,zyu2 dou6
主席,zyu2 zik6
主張,zyu2 zoeng1
主持,zyu2 ci4
主旨,zyu2 zi2
主機,zyu2 gei1
主權,zyu2 kyun4
主演,zyu2 jin2
主禮,zyu2 lai5
主管,zyu2 gun2
主觀,zyu2 gun1
主辦,zyu2 baan6
之際,zi1 zai3
乘機,sing4 gei1
也許,jaa5 heoi2
乳汁,jyu5 zap1
乾旱,gon1 hon5
乾燥,gon1 cou3
乾脆,gon1 ceoi3
予以,jyu5 ji5
事例,si6 lai6
事宜,si6 ji4
事實,si6 sat6
事故,si6 gu3
事物,si6 mat6
事跡,si6 zik1
二手,ji6 sau2
互動,wu6 dung6
五味,ng5 mei6
亡國,mong4 gwok3
交代,gaau1 doi6
交叉,gaau1 caa1
交往,gaau1 wong5
交情,gaau1 cing4
交戰,gaau1 zin3
交易,gaau1 jik6
交替,gaau1 tai3
交流,gaau1 lau4
交涉,gaau1 sip3
交界,gaau1 gaai3
交織,gaau1 zik1
交談,gaau1 taam4
交際,gaau1 zai3
交點,gaau1 dim2
亨通,hang1 tung1
享有,hoeng2 jau5
享用,hoeng2 jung6
亮光,loeng6 gwong1
亮相,loeng6 soeng3
人事,jan4 si6
人均,jan4 gwan1
人士,jan4 si6
人心,jan4 sam1
人性,jan4 sing3
人情,jan4 cing4
人手,jan4 sau2
人才,jan4 coi4
人材,jan4 coi4
人格,jan4 gaak3
人權,jan4 kyun4
人次,jan4 ci3
人流,jan4 lau4
人為,jan4 wai4
人生,jan4 sang1
人蛇,jan4 se4
人質,jan4 zi3
人身,jan4 san1
人造,jan4 zou6
人道,jan4 dou6
人間,jan4 gaan1
仁慈,jan4 ci4
仇恨,sau4 han6
介乎,gaai3 fu4
介入,gaai3 jap6
介意,gaai3 ji3
仍舊,jing4 gau6
代價,doi6 gaa3
代數,doi6 sou3
代理,doi6 lei5
代碼,doi6 maa5
代辦,doi6 baan6
以來,ji5 loi4
以便,ji5 bin6
以免,ji5 min5
以內,ji5 noi6
以及,ji5 kap6
以往,ji5 wong5
以至,ji5 zi3
以致,ji5 zi3
仰慕,joeng5 mou6
任務,jam6 mou6
任命,jam6 ming6
任性,jam6 sing3
任意,jam6 ji3
任用,jam6 jung6
任職,jam6 zik1
份外,fan6 ngoi6
仿照,fong2 ziu3
企圖,kei5 tou4
企業,kei5 jip6
伏特,fuk6 dak6
休憩,jau1 hei3
休閒,jau1 haan4
休養,jau1 joeng5
伙伴,fo2 bun6
估算,gu2 syun3
估計,gu2 gai3
伴侶,bun6 leoi5
伴奏,bun6 zau3
伶俐,ling4 lei6
伸展,san1 zin2
似乎,ci5 fu4
佈景,bou3 ging2
低廉,dai1 lim4
住址,zyu6 zi2
住宿,zyu6 suk1
住所,zyu6 so2
佔地,zim3 dei6
佔據,zim3 geoi3
佔有,zim3 jau5
佔領,zim3 ling5
何以,ho4 ji5
何況,ho4 fong3
何等,ho4 dang2
佛教,fat6 gaau3
作家,zok3 gaa1
作弊,zok3 bai6
作戰,zok3 zin3
作曲,zok3 kuk1
作為,zok3 wai4
作用,zok3 jung6
作風,zok3 fung1
佣金,jung2 gam1
使勁,si2 ging6 / si2 ging3
使命,si3 ming6
使得,si2 dak1
來年,loi4 nin4
