word,jyutping
一,jat1
丁,ding1
七,cat1
丈,zoeng6
三,saam1
上,①soeng5 ②soeng6 ③soeng5 ④soeng6
下,①haa5 ②haa6 ③haa6 ④haa6
不,bat1
丙,bing2
丟,diu1
並,bing6
中,①zung1 ②zung3
串,cyun3
主,zyu2
久,gau2
之,zi1
乖,gwaai1
乘,sing4
乙,jyut6 / jyut3
九,gau2
也,jaa5
乾,gon1
亂,lyun6
了,①liu5 ②liu5
事,si6
二,ji6
互,wu6
五,ng5
井,zeng2
些,se1
交,gaau1
享,hoeng2
亮,loeng6
人,jan4
仍,jing4
他,taa1
付,fu6
代,doi6
令,ling6
件,gin6
份,fan6
仿,fong2
伸,san1
似,ci5
位,wai6
低,dai1
住,zyu6
作,zok3
你,nei5
使,①si2 ②si3
來,loi4
例,lai6
供,①gung1 ②gung1 ③gung3
依,ji1
便,bin6
信,seon3
修,sau1
倍,pui5
們,mun4
倒,①dou2 ②dou2 ③dou3 ④dou3
借,ze3
假,①gaa2 ②gaa3
做,zou6
停,ting4
側,zak1
偷,tau1
傘,saan3
催,ceoi1
傳,①cyun4 ②zyun6
像,zoeng6
元,jyun4
兇,hung1
先,sin1
光,gwong1
克,hak1
兒,ji4
入,jap6
內,noi6
全,cyun4
兩,loeng5 / loeng2
八,baat3
公,gung1
六,luk6
共,gung6
兵,bing1
具,geoi6
兼,gim1
冊,caak3
再,zoi3
冬,dung1
冰,bing1
冷,laang5
准,zeon2
凳,dang3
出,ceot1
刀,dou1
分,①fan1 ②fan6 ③fan6
切,①cit3 ②cai3 ③cit3
划,waa1
列,lit6
初,co1
別,bit6
刨,①paau4 ②paau4
刮,gwaat3
到,dou3
刷,caat3
刺,ci3
剃,tai3
則,zak1
前,cin4
剛,gong1
剩,sing6
剪,zin2
副,fu3
割,got3
劃,waak6
劍,gim3
力,lik6
功,gung1
加,gaa1
動,dung6
勝,①sing3 ②sing1
勸,hyun3
包,baau1
北,bak1
匹,pat1
十,sap6
千,cin1
升,sing1
半,bun3
南,naam4
卡,kaa1
印,jan3
即,zik1
卵,leon2
卷,①gyun2 ②gyun2
卻,koek3
厚,hau5
厭,jim3
去,heoi3
又,jau6
叉,caa1
取,ceoi2
受,sau6
口,hau2
句,geoi3
另,ling6
只,zi2
叫,giu3
可,ho2
台,toi4
右,jau6
吃,hek3
各,gok3
合,hap6
吊,diu3
吋,cyun3
同,tung4
名,ming4
吐,①tou3 ②tou3
向,hoeng3
吞,tan1
吠,fai6
否,fau2
吧,①baa6 ②baa1
吱,zi1
吵,caau2
吸,kap1
吹,ceoi1
吻,man5
呀,①aa1 ②aa3
告,gou3
呎,cek3
呢,ne1
周,zau1
味,mei6
呵,ho1
呼,fu1
和,①wo4 ②wo4 ③wo6 ④wo4
咬,ngaau5
哇,waa1
哈,haa1
哎,aai1
員,jyun4
哦,ngo4
哭,huk1
唉,aai1
唱,coeng3
唸,nim6
啄,doek3
啊,aa1 / aa2 / aa3
問,man6
啞,aa2 / aa1
啦,laa1
啪,paak3 / paak1
喂,wai3
喊,haam3
喔,o1 / ak1
喝,①hot3 ②hot3
喲,jo1
嗎,maa1
嘴,zeoi2
嘻,hei1
噴,pan3
嚇,haak3
嚷,joeng6
四,sei3
回,wui4
因,jan1
困,kwan3
國,gwok3
圓,jyun4
圖,tou4
團,tyun4
土,tou2
在,zoi6
地,①dei6 ②dei6
坐,zo6 [co5]
垂,seoi4
型,jing4
埋,maai4
城,sing4
堂,tong4
堆,deoi1
報,bou3
場,①coeng4 ②coeng4
塊,faai3
塔,taap3
塗,tou4
塘,tong4
塞,①sak1 ②coi3
填,tin4
墊,din3 / din6
增,zang1
墨,mak6
壓,aat3
壞,waai6
壯,zong3
壹,jat1
壺,wu4
夏,haa6
外,ngoi6
多,do1
夜,je6
夠,gau3
夢,mung6
大,daai6
天,tin1
太,taai3
失,sat1
夾,gaap3
奇,kei4
奏,zau3
奔,ban1
套,tou3
奪,dyut6
女,neoi5
奶,naai5
她,taa1
好,①hou2 ②hou3
姓,sing3
姨,ji4
姪,zat6
娘,noeng4
孔,hung2
字,zi6
存,cyun4
季,gwai3
學,hok6
它,taa1
守,sau2
安,on1
完,jyun4
官,gun1
客,haak3
害,hoi6
家,gaa1
寄,gei3
密,mat6
實,sat6
寫,se2
寬,fun1
寶,bou2
寸,cyun3
封,fung1
射,se6
專,zyun1
對,deoi3
小,siu2
少,①siu2 ②siu3
尖,zim1
就,zau6
尺,cek3
尾,mei5
尿,niu6
局,guk6
屎,si2
層,cang4
山,saan1
岸,ngon6
島,dou2
巢,caau4
左,zo2
巧,haau2
差,①caa1 ②caa1 ③caai1
已,ji5
市,si5
布,bou3
帥,seoi3
帶,daai3
常,soeng4
幅,fuk1
幕,mok6
幫,bong1
平,ping4
年,nin4
幹,gon3
幾,gei2
底,dai2
店,dim3
