word,jyutping
傾家蕩產,king1 gaa1 dong6 caan2
傾巢而出,king1 caau4 ji4 ceot1
僧多粥少,zang1 do1 zuk1 siu2
價廉物美,gaa3 lim4 mat6 mei5
優哉悠哉,jau1 zoi1 jau4 zoi1
充耳不聞,cung1 ji5 bat1 man4
先入為主,sin1 jap6 wai4 zyu2
先睹為快,sin1 dou2 wai4 faai3
先聲奪人,sin1 sing1 dyut6 jan4
光天化日,gwong1 tin1 faa3 jat6
光怪陸離,gwong1 gwaai3 luk6 lei4
光明正大,gwong1 ming4 zing3 daai6
光明磊落,gwong1 ming4 leoi5 lok6
光芒萬丈,gwong1 mong4 maan6 zoeng6
克敵制勝,haak1 dik6 zai3 sing3
兢兢業業,ging1 ging1 jip6 jip6
入不敷出,jap6 bat1 fu1 ceot1
入鄉隨俗,jap6 hoeng1 ceoi4 zuk6
全神貫注,cyun4 san4 gun3 zyu3
全軍覆沒,cyun4 gwan1 fuk1 mut6
兩全其美,loeng5 cyun4 kei4 mei5
兩袖清風,loeng5 zau6 cing1 fung1
其樂無窮,kei4 lok6 mou4 kung4
其貌不揚,kei4 maau6 bat1 joeng4
再接再厲,zoi3 zip3 zoi3 lai6
冠冕堂皇,gun1 min5 tong4 wong4
冰天雪地,bing1 tin1 syut3 dei6
冰清玉潔,bing1 cing1 juk6 git3
凶多吉少,hung1 do1 gat1 siu2
出人頭地,ceot1 jan4 tau4 dei6
出其不意,ceot1 kei4 bat1 ji3
出奇制勝,ceot1 kei4 zai3 sing3
出爾反爾,ceot1 ji5 faan2 ji5
出神入化,ceot1 san4 jap6 faa3
出謀劃策,ceot1 mau4 waak6 caak3
出謀獻策,ceot1 mau4 hin3 caak3
出類拔萃,ceot1 leoi6 bat6 seoi6
分道揚鑣,fan1 dou6 joeng4 biu1
分門別類,fan1 mun4 bit6 leoi6
切中時弊,cit3 zung3 si4 bai6
初出茅廬,co1 ceot1 maau4 lou4
判若兩人,pun3 joek6 loeng5 jan4
別具一格,bit6 geoi6 jat1 gaak3
別有洞天,bit6 jau5 dung6 tin1
別有用心,bit6 jau5 jung6 sam1
別樹一幟,bit6 syu6 jat1 ci3
前功盡棄,cin4 gung1 zeon6 hei3
前因後果,cin4 jan1 hau6 gwo2
前無古人,cin4 mou4 gu2 jan4
力挽狂瀾,lik6 waan5 kwong4 laan4
力爭上游,lik6 zang1 soeng6 jau4
功德無量,gung1 dak1 mou4 loeng4
功虧一簣,gung1 kwai1 jat1 gwai6
劫富濟貧,gip3 fu3 zai3 pan4
勇往直前,jung5 wong5 zik6 cin4
動人心弦,dung6 jan4 sam1 jin4
勞師動眾,lou4 si1 dung6 zung3
勞民傷財,lou4 man4 soeng1 coi4
勢在必行,sai3 zoi6 bit1 hang4
勢均力敵,sai3 gwan1 lik6 dik6
化整為零,faa3 zing2 wai4 ling4
化為烏有,faa3 wai4 wu1 jau5
化險為夷,faa3 him2 wai4 ji4
匪夷所思,fei2 ji4 so2 si1
十全十美,sap6 cyun4 sap6 mei5
十年寒窗,sap6 nin4 hon4 coeng1
十拿九穩,sap6 naa4 gau2 wan2
十萬火急,sap6 maan6 fo2 gap1
千呼萬喚,cin1 fu1 maan6 wun6
千奇百怪,cin1 kei4 baak3 gwaai3
千姿百態,cin1 zi1 baak3 taai3
千瘡百孔,cin1 cong1 baak3 hung2
千真萬確,cin1 zan1 maan6 kok3
千秋萬世,cin1 cau1 maan6 sai3
千篇一律,cin1 pin1 jat1 leot6
千言萬語,cin1 jin4 maan6 jyu5
千變萬化,cin1 bin3 maan6 faa3
千軍萬馬,cin1 gwan1 maan6 maa5
千辛萬苦,cin1 san1 maan6 fu2
千里迢迢,cin1 lei5 tiu4 tiu4
千鈞一髮,cin1 gwan1 jat1 faat3
千錘百鍊,cin1 ceoi4 baak3 lin6
半信半疑,bun3 seon3 bun3 ji4
半壁江山,bun3 bik1 gong1 saan1
半斤八兩,bun3 gan1 baat3 loeng2
半途而廢,bun3 tou4 ji4 fai3
南征北戰,naam4 zing1 bak1 zin3
南轅北轍,naam4 jyun4 bak1 cit3
博大精深,bok3 daai6 zing1 sam1
危在旦夕,ngai4 zoi6 daan3 zik6
厚此薄彼,hau5 ci2 bok6 bei2
去蕪存菁,heoi3 mou4 cyun4 cing1
參差不齊,caam1 ci1 bat1 cai4
取長補短,ceoi2 coeng4 bou2 dyun2
古今中外,gu2 gam1 zung1 ngoi6
古往今來,gu2 wong5 gam1 loi4
古色古香,gu2 sik1 gu2 hoeng1
另眼相看,ling6 ngaan5 soeng1 hon1
另起爐灶,ling6 hei2 lou4 zou3
叫苦連天,giu3 fu2 lin4 tin1
可歌可泣,ho2 go1 ho2 jap1
可見一斑,ho2 gin3 jat1 baan1
叱咤風雲,cik1 caak1 fung1 wan4
各有千秋,gok3 jau5 cin1 cau1
各自為政,gok3 zi6 wai4 zing3
各適其適,gok3 sik1 kei4 sik1
合情合理,hap6 cing4 hap6 lei5
同仇敵愾,tung4 sau4 dik6 koi3
同心協力,tung4 sam1 hip3 lik6
同歸於盡,tung4 gwai1 jyu1 zeon6
